site,block,time_month,treatment,family,species,number_recovered,number_original
co,4,2,s,poaceae,b.gracilis,18,20
co,5,2,c,poaceae,b.gracilis,9,20
co,5,2,s,poaceae,b.gracilis,20,20
co,6,2,c,poaceae,b.gracilis,8,20
co,6,2,s,poaceae,b.gracilis,16,20
co,7,2,c,poaceae,b.gracilis,5,20
co,7,2,s,poaceae,b.gracilis,14,20
co,8,2,c,poaceae,b.gracilis,7,20
co,8,2,s,poaceae,b.gracilis,14,20
co,9,2,c,poaceae,b.gracilis,15,20
co,9,2,s,poaceae,b.gracilis,15,20
co,10,2,c,poaceae,b.gracilis,14,20
co,10,2,s,poaceae,b.gracilis,9,20
co,1,0.25,s,poaceae,b.dactyloides,20,20
co,1,0.25,c,poaceae,b.dactyloides,20,20
co,2,0.25,s,poaceae,b.dactyloides,20,20
co,2,0.25,c,poaceae,b.dactyloides,18,20
co,3,0.25,s,poaceae,b.dactyloides,19,20
co,3,0.25,c,poaceae,b.dactyloides,20,20
co,4,0.25,s,poaceae,b.dactyloides,19,20
co,4,0.25,c,poaceae,b.dactyloides,19,20
co,5,0.25,c,poaceae,b.dactyloides,17,20
co,5,0.25,s,poaceae,b.dactyloides,19,20
co,6,0.25,c,poaceae,b.dactyloides,20,20
co,6,0.25,s,poaceae,b.dactyloides,19,20
co,7,0.25,c,poaceae,b.dactyloides,17,20
co,7,0.25,s,poaceae,b.dactyloides,20,20
co,8,0.25,c,poaceae,b.dactyloides,20,20
co,8,0.25,s,poaceae,b.dactyloides,20,20
co,9,0.25,c,poaceae,b.dactyloides,19,20
co,9,0.25,s,poaceae,b.dactyloides,17,20
co,10,0.25,c,poaceae,b.dactyloides,20,20
co,10,0.25,s,poaceae,b.dactyloides,10,20
co,1,1,c,poaceae,b.dactyloides,20,20
co,1,1,s,poaceae,b.dactyloides,18,20
co,2,1,c,poaceae,b.dactyloides,20,20
co,2,1,s,poaceae,b.dactyloides,17,20
co,3,1,c,poaceae,b.dactyloides,20,20
co,3,1,s,poaceae,b.dactyloides,20,20
co,4,1,c,poaceae,b.dactyloides,17,20
co,4,1,s,poaceae,b.dactyloides,20,20
co,5,1,c,poaceae,b.dactyloides,17,20
co,5,1,s,poaceae,b.dactyloides,20,20
co,6,1,c,poaceae,b.dactyloides,20,20
co,6,1,s,poaceae,b.dactyloides,17,20
co,7,1,c,poaceae,b.dactyloides,19,20
co,7,1,s,poaceae,b.dactyloides,18,20
co,8,1,c,poaceae,b.dactyloides,18,20
co,8,1,s,poaceae,b.dactyloides,20,20
co,9,1,c,poaceae,b.dactyloides,19,20
co,9,1,s,poaceae,b.dactyloides,17,20
co,10,1,c,poaceae,b.dactyloides,18,20
co,10,1,s,poaceae,b.dactyloides,17,20
co,1,2,c,poaceae,b.dactyloides,10,20
co,1,2,s,poaceae,b.dactyloides,20,20
co,2,2,c,poaceae,b.dactyloides,17,20
co,2,2,s,poaceae,b.dactyloides,15,20
co,3,2,c,poaceae,b.dactyloides,19,20
co,3,2,s,poaceae,b.dactyloides,19,20
co,4,2,c,poaceae,b.dactyloides,17,20
co,4,2,s,poaceae,b.dactyloides,17,20
co,5,2,c,poaceae,b.dactyloides,17,20
co,5,2,s,poaceae,b.dactyloides,18,20
co,6,2,c,poaceae,b.dactyloides,17,20
co,6,2,s,poaceae,b.dactyloides,19,20
co,7,2,c,poaceae,b.dactyloides,18,20
co,7,2,s,poaceae,b.dactyloides,18,20
co,8,2,c,poaceae,b.dactyloides,13,20
co,8,2,s,poaceae,b.dactyloides,18,20
co,9,2,c,poaceae,b.dactyloides,16,20
co,9,2,s,poaceae,b.dactyloides,15,20
co,10,2,c,poaceae,b.dactyloides,19,20
co,10,2,s,poaceae,b.dactyloides,10,20
co,1,0.25,s,fabaceae,d.purpurea,18,20
co,1,0.25,c,fabaceae,d.purpurea,5,20
co,2,0.25,s,fabaceae,d.purpurea,19,20
co,2,0.25,c,fabaceae,d.purpurea,1,20
co,3,0.25,s,fabaceae,d.purpurea,19,20
co,3,0.25,c,fabaceae,d.purpurea,18,20
co,4,0.25,s,fabaceae,d.purpurea,16,20
co,4,0.25,c,fabaceae,d.purpurea,12,20
co,5,0.25,c,fabaceae,d.purpurea,16,20
co,5,0.25,s,fabaceae,d.purpurea,20,20
co,6,0.25,c,fabaceae,d.purpurea,19,20
co,6,0.25,s,fabaceae,d.purpurea,19,20
co,7,0.25,c,fabaceae,d.purpurea,18,20
co,7,0.25,s,fabaceae,d.purpurea,17,20
co,8,0.25,c,fabaceae,d.purpurea,18,20
co,8,0.25,s,fabaceae,d.purpurea,17,20
co,9,0.25,c,fabaceae,d.purpurea,15,20
co,9,0.25,s,fabaceae,d.purpurea,14,20
co,10,0.25,c,fabaceae,d.purpurea,2,20
co,10,0.25,s,fabaceae,d.purpurea,13,20
co,1,1,c,fabaceae,d.purpurea,2,20
co,1,1,s,fabaceae,d.purpurea,9,20
co,2,1,c,fabaceae,d.purpurea,1,20
co,2,1,s,fabaceae,d.purpurea,19,20
co,3,1,c,fabaceae,d.purpurea,1,20
co,3,1,s,fabaceae,d.purpurea,16,20
co,4,1,c,fabaceae,d.purpurea,0,20
co,4,1,s,fabaceae,d.purpurea,15,20
co,5,1,c,fabaceae,d.purpurea,1,20
co,5,1,s,fabaceae,d.purpurea,5,20
co,6,1,c,fabaceae,d.purpurea,1,20
co,6,1,s,fabaceae,d.purpurea,16,20
co,7,1,c,fabaceae,d.purpurea,0,20
co,7,1,s,fabaceae,d.purpurea,13,20
co,8,1,c,fabaceae,d.purpurea,1,20
co,8,1,s,fabaceae,d.purpurea,14,20
co,9,1,c,fabaceae,d.purpurea,6,20
co,9,1,s,fabaceae,d.purpurea,10,20
co,10,1,c,fabaceae,d.purpurea,0,20
co,10,1,s,fabaceae,d.purpurea,4,20
co,1,2,c,fabaceae,d.purpurea,1,20
co,1,2,s,fabaceae,d.purpurea,17,20
co,2,2,c,fabaceae,d.purpurea,1,20
co,2,2,s,fabaceae,d.purpurea,14,20
co,3,2,c,fabaceae,d.purpurea,0,20
co,3,2,s,fabaceae,d.purpurea,15,20
co,4,2,c,fabaceae,d.purpurea,0,20
co,4,2,s,fabaceae,d.purpurea,14,20
co,5,2,c,fabaceae,d.purpurea,1,20
co,5,2,s,fabaceae,d.purpurea,9,20
co,6,2,c,fabaceae,d.purpurea,0,20
co,6,2,s,fabaceae,d.purpurea,12,20
co,7,2,c,fabaceae,d.purpurea,0,20
co,7,2,s,fabaceae,d.purpurea,6,20
co,8,2,c,fabaceae,d.purpurea,0,20
co,8,2,s,fabaceae,d.purpurea,12,20
co,9,2,c,fabaceae,d.purpurea,0,20
co,9,2,s,fabaceae,d.purpurea,6,20
co,10,2,c,fabaceae,d.purpurea,0,20
co,10,2,s,fabaceae,d.purpurea,0,20
co,1,0.25,s,asteraceae,h.annuus,2,20
co,1,0.25,c,asteraceae,h.annuus,6,20
co,2,0.25,s,asteraceae,h.annuus,2,20
co,2,0.25,c,asteraceae,h.annuus,2,20
co,3,0.25,s,asteraceae,h.annuus,0,20
co,3,0.25,c,asteraceae,h.annuus,1,20
co,4,0.25,s,asteraceae,h.annuus,1,20
co,4,0.25,c,asteraceae,h.annuus,0,20
co,5,0.25,c,asteraceae,h.annuus,1,20
co,5,0.25,s,asteraceae,h.annuus,0,20
co,6,0.25,c,asteraceae,h.annuus,2,20
co,6,0.25,s,asteraceae,h.annuus,0,20
co,7,0.25,c,asteraceae,h.annuus,4,20
co,7,0.25,s,asteraceae,h.annuus,0,20
co,8,0.25,c,asteraceae,h.annuus,1,20
co,8,0.25,s,asteraceae,h.annuus,0,20
co,9,0.25,c,asteraceae,h.annuus,3,20
co,9,0.25,s,asteraceae,h.annuus,2,20
co,10,0.25,c,asteraceae,h.annuus,2,20
co,10,0.25,s,asteraceae,h.annuus,0,20
co,1,1,c,asteraceae,h.annuus,2,20
co,1,1,s,asteraceae,h.annuus,4,20
co,2,1,c,asteraceae,h.annuus,1,20
co,2,1,s,asteraceae,h.annuus,3,20
co,3,1,c,asteraceae,h.annuus,2,20
co,3,1,s,asteraceae,h.annuus,4,20
co,4,1,c,asteraceae,h.annuus,2,20
co,4,1,s,asteraceae,h.annuus,2,20
co,5,1,c,asteraceae,h.annuus,0,20
co,5,1,s,asteraceae,h.annuus,2,20
co,6,1,c,asteraceae,h.annuus,0,20
co,6,1,s,asteraceae,h.annuus,6,20
co,7,1,c,asteraceae,h.annuus,1,20
co,7,1,s,asteraceae,h.annuus,1,20
co,8,1,c,asteraceae,h.annuus,1,20
co,8,1,s,asteraceae,h.annuus,1,20
co,9,1,c,asteraceae,h.annuus,1,20
co,9,1,s,asteraceae,h.annuus,0,20
co,10,1,c,asteraceae,h.annuus,0,20
co,10,1,s,asteraceae,h.annuus,1,20
co,1,2,c,asteraceae,h.annuus,2,20
co,1,2,s,asteraceae,h.annuus,2,20
co,2,2,c,asteraceae,h.annuus,1,20
co,2,2,s,asteraceae,h.annuus,2,20
co,3,2,c,asteraceae,h.annuus,3,20
co,3,2,s,asteraceae,h.annuus,5,20
co,4,2,c,asteraceae,h.annuus,1,20
co,4,2,s,asteraceae,h.annuus,3,20
co,5,2,c,asteraceae,h.annuus,2,20
co,5,2,s,asteraceae,h.annuus,0,20
co,6,2,c,asteraceae,h.annuus,0,20
co,6,2,s,asteraceae,h.annuus,1,20
co,7,2,c,asteraceae,h.annuus,1,20
co,7,2,s,asteraceae,h.annuus,0,20
co,8,2,c,asteraceae,h.annuus,0,20
co,8,2,s,asteraceae,h.annuus,2,20
co,9,2,c,asteraceae,h.annuus,1,20
co,9,2,s,asteraceae,h.annuus,0,20
co,10,2,c,asteraceae,h.annuus,0,20
co,10,2,s,asteraceae,h.annuus,0,20
co,1,0.25,s,asteraceae,s.rigida,19,20
co,1,0.25,c,asteraceae,s.rigida,0,20
co,2,0.25,s,asteraceae,s.rigida,20,20
co,2,0.25,c,asteraceae,s.rigida,8,20
co,3,0.25,s,asteraceae,s.rigida,16,20
co,3,0.25,c,asteraceae,s.rigida,14,20
co,4,0.25,s,asteraceae,s.rigida,20,20
co,4,0.25,c,asteraceae,s.rigida,9,20
co,5,0.25,c,asteraceae,s.rigida,18,20
co,5,0.25,s,asteraceae,s.rigida,20,20
co,6,0.25,c,asteraceae,s.rigida,18,20
co,6,0.25,s,asteraceae,s.rigida,19,20
co,7,0.25,c,asteraceae,s.rigida,18,20
co,7,0.25,s,asteraceae,s.rigida,20,20
co,8,0.25,c,asteraceae,s.rigida,20,20
co,8,0.25,s,asteraceae,s.rigida,20,20
co,9,0.25,c,asteraceae,s.rigida,13,20
co,9,0.25,s,asteraceae,s.rigida,18,20
co,10,0.25,c,asteraceae,s.rigida,10,20
co,10,0.25,s,asteraceae,s.rigida,14,20
co,1,1,c,asteraceae,s.rigida,0,20
co,1,1,s,asteraceae,s.rigida,16,20
co,2,1,c,asteraceae,s.rigida,0,20
co,2,1,s,asteraceae,s.rigida,12,20
co,3,1,c,asteraceae,s.rigida,1,20
co,3,1,s,asteraceae,s.rigida,20,20
co,4,1,c,asteraceae,s.rigida,1,20
co,4,1,s,asteraceae,s.rigida,16,20
co,5,1,c,asteraceae,s.rigida,0,20
co,5,1,s,asteraceae,s.rigida,9,20
co,6,1,c,asteraceae,s.rigida,0,20
co,6,1,s,asteraceae,s.rigida,17,20
co,7,1,c,asteraceae,s.rigida,0,20
co,7,1,s,asteraceae,s.rigida,10,20
co,8,1,c,asteraceae,s.rigida,0,20
co,8,1,s,asteraceae,s.rigida,13,20
co,9,1,c,asteraceae,s.rigida,4,20
co,9,1,s,asteraceae,s.rigida,6,20
co,10,1,c,asteraceae,s.rigida,3,20
co,10,1,s,asteraceae,s.rigida,7,20
co,1,2,c,asteraceae,s.rigida,0,20
co,1,2,s,asteraceae,s.rigida,15,20
co,2,2,c,asteraceae,s.rigida,0,20
co,2,2,s,asteraceae,s.rigida,16,20
co,3,2,c,asteraceae,s.rigida,0,20
co,3,2,s,asteraceae,s.rigida,16,20
co,4,2,c,asteraceae,s.rigida,0,20
co,4,2,s,asteraceae,s.rigida,15,20
co,5,2,c,asteraceae,s.rigida,0,20
co,5,2,s,asteraceae,s.rigida,12,20
co,6,2,c,asteraceae,s.rigida,0,20
co,6,2,s,asteraceae,s.rigida,20,20
co,7,2,c,asteraceae,s.rigida,0,20
co,7,2,s,asteraceae,s.rigida,5,20
co,8,2,c,asteraceae,s.rigida,0,20
co,8,2,s,asteraceae,s.rigida,6,20
co,9,2,c,asteraceae,s.rigida,6,20
co,9,2,s,asteraceae,s.rigida,5,20
co,10,2,c,asteraceae,s.rigida,2,20
co,10,2,s,asteraceae,s.rigida,2,20
co,1,0.25,s,iridaceae,s.angustifolium,20,20
co,1,0.25,c,iridaceae,s.angustifolium,3,20
co,2,0.25,s,iridaceae,s.angustifolium,20,20
co,2,0.25,c,iridaceae,s.angustifolium,16,20
co,3,0.25,s,iridaceae,s.angustifolium,20,20
